path,level,slug,text
onboarding-architettura.md,2,6-file-canonici-riferimento-ufficiale,"6. File canonici (riferimento ufficiale)"
plan-and-diary-contract.md,2,vedi-anche,"Vedi anche"
quest-board-docs-dq.md,2,snapshot-dq-auto-tbd,"Snapshot DQ (auto) - TBD"
roadmap.md,2,obiettivi,"Obiettivi"
roadmap.md,2,comandi-locali-riassunto,"Comandi locali (riassunto)"
roadmap.md,2,pipeline-ci-azure-devops,"Pipeline CI (Azure DevOps)"
roadmap.md,2,criteri-di-accettazione,"Criteri di accettazione"
start-here.md,2,filosofia-easyway,"🎨 Filosofia EasyWay"
start-here.md,2,easycaa-social-impact,"💙 EasyCAA - Social Impact"
todo-checklist.md,2,gap-e-aree-di-miglioramento-cosa-manca,"Gap e aree di miglioramento (cosa manca)"
todo-checklist.md,2,convenzioni-e-struttura,"Convenzioni e struttura"
todo-checklist.md,2,best-practice-uniformamento-naming-e-struttura,"Best practice: Uniformamento naming e struttura"
todo-checklist.md,2,sicurezza-avanzata-roadmap-non-ancora-pienamente-implementata,"Sicurezza avanzata (roadmap, non ancora pienamente implementata)"
todo-checklist.md,2,automazione-documentale-da-rafforzare,"Automazione documentale (da rafforzare)"
todo-checklist.md,2,test-e-qa-da-ampliare,"Test e QA (da ampliare)"
todo-checklist.md,3,rinomine-puntuali-20251019,"Rinomine puntuali (20251019)"
todo-checklist.md,2,metadati-e-front-matter,"Metadati e front matter"
todo-checklist.md,2,indici-e-link,"Indici e link"
todo-checklist.md,2,automazioni-e-controlli,"Automazioni e controlli"
todo-checklist.md,2,export-per-ai-dataset,"Export per AI (dataset)"
todo-checklist.md,2,entit-e-tassonomia,"Entità e tassonomia"
todo-checklist.md,2,estensioni-per-ruoli-guide-rapide,"Estensioni per ruoli (guide rapide)"
todo-checklist.md,2,accettazione,"Accettazione"
todo-checklist.md,2,domande-a-cui-risponde,"Domande a cui risponde"
value-proposition.md,2,start-with-why-s-sinek,"Start With Why (S. Sinek)"
wiki-uniformamento-roadmap.md,2,obiettivi,"Obiettivi"
wiki-uniformamento-roadmap.md,2,fasi-e-sequenza,"Fasi e Sequenza"
wiki-uniformamento-roadmap.md,3,fase-0-baseline-e-strumenti,"Fase 0 — Baseline e strumenti"
wiki-uniformamento-roadmap.md,3,fase-1-naming-e-indici,"Fase 1 — Naming e indici"
wiki-uniformamento-roadmap.md,3,fase-2-front-matter,"Fase 2 — Front Matter"
wiki-uniformamento-roadmap.md,3,fase-3-struttura-pagine,"Fase 3 — Struttura Pagine"
wiki-uniformamento-roadmap.md,3,fase-4-entit-e-tagging,"Fase 4 — Entità e Tagging"
wiki-uniformamento-roadmap.md,3,fase-5-link-e-ancore,"Fase 5 — Link e Ancore"
wiki-uniformamento-roadmap.md,3,fase-6-privacy-e-pii,"Fase 6 — Privacy e PII"
wiki-uniformamento-roadmap.md,3,fase-7-qa-finale,"Fase 7 — QA Finale"
wiki-uniformamento-roadmap.md,2,percartella-linee-guida,"Per‑Cartella (linee guida)"
wiki-uniformamento-roadmap.md,3,01databasearchitecture,"01_database_architecture"
wiki-uniformamento-roadmap.md,3,02logicheeasyway,"02_logiche_easyway"
wiki-uniformamento-roadmap.md,3,03datalakedev,"03_datalake_dev"
wiki-uniformamento-roadmap.md,3,05codiceeasywayportale,"05_codice_easyway_portale"
wiki-uniformamento-roadmap.md,3,06frontendarchitecture-07iamnamingutentigruppi-10aiagents,"06_frontend_architecture, 07_iam_naming_utenti_gruppi, 10_ai_agents"
wiki-uniformamento-roadmap.md,2,template-autoriali-snippet,"Template Autoriali (snippet)"
wiki-uniformamento-roadmap.md,3,endpoint-api,"Endpoint (API)"
wiki-uniformamento-roadmap.md,3,stored-procedure,"Stored Procedure"
wiki-uniformamento-roadmap.md,3,flowguidestandard,"Flow/Guide/Standard"
wiki-uniformamento-roadmap.md,2,automazioni-da-usare-sempre,"Automazioni (da usare sempre)"
wiki-uniformamento-roadmap.md,3,naming-indici,"Naming + indici"
wiki-uniformamento-roadmap.md,3,anchor-check,"Anchor check"
wiki-uniformamento-roadmap.md,3,index-globale,"Index globale"
wiki-uniformamento-roadmap.md,3,log-attivit,"Log attività"
wiki-uniformamento-roadmap.md,3,manifest-per-agenti-jsonlcsv-ancore,"Manifest per agenti (JSONL/CSV) + ancore"
wiki-uniformamento-roadmap.md,2,criteri-di-accettazione,"Criteri di Accettazione"
wiki-uniformamento-roadmap.md,2,assegnazione-owner-e-tag-esempio,"Assegnazione Owner e Tag (esempio)"
wiki-uniformamento-roadmap.md,2,roadmap-operativa,"Roadmap Operativa"
wiki-uniformamento-roadmap.md,3,sprint-1-23-giorni,"Sprint 1 (2–3 giorni)"
wiki-uniformamento-roadmap.md,3,sprint-2-35-giorni,"Sprint 2 (3–5 giorni)"
wiki-uniformamento-roadmap.md,3,sprint-3-35-giorni,"Sprint 3 (3–5 giorni)"
wiki-uniformamento-roadmap.md,3,sprint-4-23-giorni,"Sprint 4 (2–3 giorni)"
wiki-uniformamento-roadmap.md,2,rischi-e-mitigazioni,"Rischi e Mitigazioni"
wiki-uniformamento-roadmap.md,2,output-e-report,"Output e Report"
wiki-uniformamento-roadmap.md,2,domande-a-cui-risponde,"Domande a cui risponde"
.obsidian.example/README.md,2,vedi-anche,"Vedi anche"
agents/agent-roster.md,2,brains-strategic-agents,"🧠 Brains (Strategic Agents)"
agents/agent-roster.md,2,arms-executive-agents,"💪 Arms (Executive Agents)"
agents/agent-roster.md,2,ecosystem-stats,"📊 Ecosystem Stats"
ai/knowledge-vettoriale-easyway.md,2,cos-una-knowledge-base-vettoriale,"Cos’è una knowledge base vettoriale?"
ai/knowledge-vettoriale-easyway.md,2,perch-serve-a-easyway,"Perché serve a EasyWay"
ai/knowledge-vettoriale-easyway.md,2,architettura-e-workflow-consigliato,"Architettura e workflow consigliato"
ai/knowledge-vettoriale-easyway.md,2,cosa-vettorializzare-spec,"Cosa vettorializzare? (spec)"
ai/knowledge-vettoriale-easyway.md,2,scope-dba-sql,"Scope DBA (SQL)"
ai/knowledge-vettoriale-easyway.md,2,scenari-di-integrazione,"Scenari di integrazione"
ai/knowledge-vettoriale-easyway.md,2,tool-e-costi-cosa-scegliere,"Tool e costi: cosa scegliere?"
ai/knowledge-vettoriale-easyway.md,2,strategia-consigliata-dev-locale-prod-managed,"Strategia consigliata (dev locale → prod managed)"
ai/knowledge-vettoriale-easyway.md,2,sicurezza-e-zero-trust,"Sicurezza e zero trust"
ai/knowledge-vettoriale-easyway.md,2,come-legare-a-obsidiankb,"Come legare a Obsidian/KB"
ai/knowledge-vettoriale-easyway.md,2,prossimi-step,"Prossimi step"
ai/knowledge-vettoriale-easyway.md,2,contesto-repo,"Contesto (repo)"
api/rest-errors-qna.md,2,contesto-repo,"Contesto (repo)"
api/rest-errors-qna.md,2,qa-errori-ricorrenti,"Q&A (errori ricorrenti)"
api/rest-errors-qna.md,3,401-unauthorized,"401 Unauthorized"
api/rest-errors-qna.md,3,403-forbidden,"403 Forbidden"
api/rest-errors-qna.md,3,400-bad-request,"400 Bad Request"
